symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
XXII,"22nd Century Group, Inc",2.37,$294.83M,NA,Consumer Non-Durables,Farming/Seeds/Milling
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.03,$1.02B,1986,NA,NA
IAF,Aberdeen Australia Equity Fund Inc,5.11,$116.21M,NA,NA,NA
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.98,$422.28M,NA,NA,NA
FCO,"Aberdeen Global Income Fund, Inc.",7.95,$69.36M,1992,NA,NA
ACU,Acme United Corporation.,15.55,$52.39M,1988,Capital Goods,Industrial Machinery/Components
ATNM,"Actinium Pharmaceuticals, Inc.",0.485,$56.12M,NA,Health Care,Major Pharmaceuticals
AE,"Adams Resources & Energy, Inc.",40.43,$170.52M,NA,Energy,Oil Refining/Marketing
ACY,AeroCentury Corp.,10.15,$15.69M,NA,Technology,Diversified Commercial Services
UAVS,"AgEagle Aerial Systems, Inc.",0.5092,$5.91M,NA,Capital Goods,Aerospace
AGE,"AgeX Therapeutics, Inc.",4.23,NA,2018,Health Care,Major Pharmaceuticals
AIRI,Air Industries Group,0.998,$27.69M,NA,Capital Goods,Military/Government/Technical
AXU,Alexco Resource Corp,0.94,$101.52M,NA,Basic Industries,Precious Metals
ALO,Alio Gold Inc.,0.7749,$65.64M,2011,Basic Industries,Precious Metals
AAU,"Almaden Minerals, Ltd.",0.7507,$83.81M,2015,Basic Industries,Precious Metals
APT,"Alpha Pro Tech, Ltd.",4.35,$59.29M,NA,Health Care,Industrial Specialties
AAMC,Altisource Asset Management Corp,26.94,$43.99M,NA,Finance,Real Estate
AMBO,Ambow Education Holding Ltd.,5.99,$129.22M,NA,Consumer Services,Other Consumer Services
DIT,AMCON Distributing Company,88.01,$54.33M,NA,Consumer Non-Durables,Food Distributors
AMS,American Shared Hospital Services,2.58,$14.74M,NA,Health Care,Medical Specialities
USAS,Americas Silver Corporation,1.68,$72.92M,2017,Basic Industries,Precious Metals
AMPE,"Ampio Pharmaceuticals, Inc.",0.51,$54.43M,NA,Health Care,Major Pharmaceuticals
APHB,AmpliPhi Biosciences Corporation,0.2585,$8.35M,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARNC^,Arconic Inc.,88.854,NA,NA,NA,NA
AKG,Asanko Gold Inc.,0.6838,$154.41M,NA,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AINC,Ashford Inc.,48.6,$116.19M,2014,Consumer Services,Professional Services
AST,"Asterias Biotherapeutics, Inc.",0.7389,$41.13M,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUG,Auryn Resources Inc.,0.9326,$84.3M,NA,Basic Industries,Precious Metals
AWX,Avalon Holdings Corporation,3.01,$11.45M,NA,Public Utilities,Environmental Services
ASM,Avino Silver,0.6175,$39.11M,NA,Basic Industries,Precious Metals
BTG,B2Gold Corp,2.66,$2.63B,NA,Basic Industries,Precious Metals
BTN,"Ballantyne Strong, Inc",1.72,$24.84M,NA,Miscellaneous,Industrial Machinery/Components
BKJ,"Bancorp of New Jersey, Inc",13.29,$96.96M,NA,Finance,Major Banks
BCV,Bancroft Fund Limited,20.2,$106.64M,NA,NA,NA
BCV^A,Bancroft Fund Limited,25.28,NA,NA,NA,NA
BHB,"Bar Harbor Bankshares, Inc.",23.75,$368.36M,NA,Finance,Major Banks
BRN,"Barnwell Industries, Inc.",1.35,$11.17M,NA,Energy,Oil & Gas Production
BGSF,BG Staffing Inc,22.38,$227.33M,NA,Technology,Professional Services
BPMX,BioPharmX Corporation,0.1151,$24.5M,2015,Health Care,Major Pharmaceuticals
BTX,"BioTime, Inc.",0.9998,$126.94M,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BGI,Birks Group Inc.,1,$17.96M,NA,Consumer Services,Consumer Specialties
BKTI,"BK Technologies, Inc.",4.64,$61.98M,NA,Technology,Radio And Television Broadcasting And Communications Equipment
BDR,"Blonder Tongue Laboratories, Inc.",1.1742,$10.9M,NA,Technology,Radio And Television Broadcasting And Communications Equipment
BRG,"Bluerock Residential Growth REIT, Inc.",10.4,$247.34M,2014,Consumer Services,Real Estate Investment Trusts
BRG^A,"Bluerock Residential Growth REIT, Inc.",25.5794,NA,NA,NA,NA
BRG^C,"Bluerock Residential Growth REIT, Inc.",25.06,NA,NA,NA,NA
BRG^D,"Bluerock Residential Growth REIT, Inc.",22.1,NA,NA,NA,NA
BWL.A,"Bowl America, Inc.",NA,NA,NA,NA,NA
CMCL,Caledonia Mining Corporation Plc,6.01,$63.72M,NA,Basic Industries,Precious Metals
CEI,"Camber Energy, Inc.",0.61,$4.13M,NA,Energy,Oil & Gas Production
CANF,Can-Fite Biopharma Ltd,1.2,$24.24M,NA,Health Care,Major Pharmaceuticals
ROX,"Castle Brands, Inc.",0.883,$148.96M,2006,Consumer Non-Durables,Beverages (Production/Distribution)
CAW,"CCA Industries, Inc.",2.43,$18.12M,NA,Consumer Non-Durables,Package Goods/Cosmetics
CVM,Cel-Sci Corporation,2.72,$77.22M,NA,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CET,Central Securities Corporation,26.25,$651.29M,NA,NA,NA
LEU,Centrus Energy Corp.,2.15,$19.43M,2014,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
