symbol,company,weight,sector,shares_held
PBR.A,Petroleo Brasileiro SA Sponsored ADR Pfd,0.010504712582203283,Energy,67753
MTN-ZA,MTN Group Limited,0.009425605984716659,Communication Services,132723
SBUX,Starbucks Corporation,0.008497228073467204,Consumer Discretionary,11476
VWS-DK,Vestas Wind Systems A/S,0.008450420789852439,Industrials,9485
AAL-GB,Anglo American plc,0.008149003560846036,Materials,30616
MCD,McDonald's Corporation,0.008077708761789586,Consumer Discretionary,3872
TEF-ES,Telefonica SA,0.007949691242537882,Communication Services,80148
PG,Procter & Gamble Company,0.007881698243719263,Consumer Staples,7549
MRK,Merck & Co. Inc.,0.007837450106185494,Health Care,9e3
FOXA,Twenty-First Century Fox Inc. Class A,0.007802475109745216,Communication Services,13998
DE,Deere & Company,0.007771735249172311,Industrials,4215
ENGI-FR,ENGIE SA,0.007699918585032677,Utilities,43193
INTC,Intel Corporation,0.007691980214248098,Information Technology,13777
RIO-GB,Rio Tinto plc,0.007676284118284656,Materials,13247
DUK,Duke Energy Corporation,0.0076175843322934976,Utilities,7722
ROG-CH,Roche Holding Ltd Genusssch.,0.00759989109880018,Health Care,2552
5108-JP,Bridgestone Corporation,0.007595575675996932,Consumer Discretionary,17027
VZ,Verizon Communications Inc.,0.0075385920232600885,Communication Services,11516
941-HK,China Mobile Limited,0.0075263884090071825,Communication Services,63543
NPN-ZA,Naspers Limited Class N,0.007481598334656261,Communication Services,2942
ABT,Abbott Laboratories,0.00747489437551075,Health Care,9202
NOVN-CH,Novartis AG,0.007451420482634478,Health Care,7310
WMT,Walmart Inc.,0.007448229076933471,Consumer Staples,6684
OGZD-GB,Public Joint-Stock Company Gazprom Sponsored ADR,0.007447406135840759,Energy,138445
1398-HK,Industrial and Commercial Bank of China Limited Class H,0.007425176690470539,Financials,890110
7267-JP,Honda Motor Co. Ltd.,0.007420128649377438,Consumer Discretionary,21905
DIS,Walt Disney Company,0.007416525773130075,Communication Services,5800
INFY,Infosys Limited Sponsored ADR,0.0074154117918948164,Information Technology,60847
KO,Coca-Cola Company,0.0073950389819166925,Consumer Staples,13642
BHP-AU,BHP Group Ltd,0.007389539326809297,Materials,27258
7203-JP,Toyota Motor Corp.,0.007385856163626059,Consumer Discretionary,10295
NG-GB,National Grid plc,0.007278903929174398,Utilities,61566
NEE,NextEra Energy Inc.,0.0072489167586253156,Utilities,3586
AMGN,Amgen Inc.,0.007221900204703586,Health Care,3105
NESN-CH,Nestle S.A.,0.007220736044133408,Consumer Staples,7428
BK,Bank of New York Mellon Corporation,0.007217203418954935,Financials,12159
700-HK,Tencent Holdings Ltd.,0.007201828470734991,Communication Services,14806
BA,Boeing Company,0.007159968869543484,Industrials,1731
EOAN-DE,E.ON SE,0.007154569573105932,Utilities,60345
PFE,Pfizer Inc.,0.007141452694957455,Health Care,14598
939-HK,China Construction Bank Corporation Class H,0.007122494942224116,Financials,739288
