symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
YI,"111, Inc.",7.53,$614.03M,2018,Health Care,Medical/Nursing Services
PIH,"1347 Property Insurance Holdings, Inc.",4.36,$26.13M,2014,Finance,Property-Casualty Insurers
PIHPP,"1347 Property Insurance Holdings, Inc.",21.934,NA,NA,Finance,Property-Casualty Insurers
TURN,180 Degree Capital Corp.,2.01,$62.55M,NA,Finance,Finance/Investors Services
FLWS,"1-800 FLOWERS.COM, Inc.",12.9,$827.9M,1999,Consumer Services,Other Specialty Stores
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.82,$31.43M,2019,Finance,Banks
FCCY,1st Constitution Bancorp (NJ),19.43,$163.3M,NA,Finance,Savings Institutions
SRCE,1st Source Corporation,45.11,$1.17B,NA,Finance,Major Banks
VNET,"21Vianet Group, Inc.",9.41,$1.05B,2011,Technology,"Computer Software: Programming, Data Processing"
TWOU,"2U, Inc.",56.43,$3.27B,2014,Technology,Computer Software: Prepackaged Software
QFIN,"360 Finance, Inc.",13.34,$1.92B,2018,Finance,Finance: Consumer Services
TPNL,"3PEA International, Inc.",4.18,$193.95M,NA,Miscellaneous,Business Services
JOBS,"51job, Inc.",67.85,$4.19B,2004,Technology,Diversified Commercial Services
EGHT,8x8 Inc,20.15,$1.92B,NA,Technology,EDP Services
AAON,"AAON, Inc.",37.66,$1.96B,NA,Capital Goods,Industrial Machinery/Components
ABEO,Abeona Therapeutics Inc.,7.26,$348.08M,NA,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,2.96,NA,NA,Health Care,Major Pharmaceuticals
ABIL,Ability Inc.,2.14,$7.84M,2014,Consumer Durables,Telecommunications Equipment
ABMD,"ABIOMED, Inc.",333.74,$15.03B,NA,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,1.34,$223.25M,NA,Energy,Oil & Gas Production
ACIU,AC Immune SA,11.34,$763.89M,2016,Health Care,Major Pharmaceuticals
ACIA,"Acacia Communications, Inc.",42.63,$1.72B,2016,Technology,Semiconductors
ACTG,Acacia Research Corporation,3.03,$150.41M,NA,Miscellaneous,Multi-Sector Companies
ACHC,"Acadia Healthcare Company, Inc.",28.99,$2.56B,NA,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,21.07,$2.64B,1985,Health Care,Major Pharmaceuticals
ACST,"Acasti Pharma, Inc.",1.11,$86.72M,NA,Health Care,Major Pharmaceuticals
AXDX,"Accelerate Diagnostics, Inc.",16.76,$908.37M,NA,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,40.99,$1.89B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,24.32,$512.36M,NA,Finance,Savings Institutions
ARAY,Accuray Incorporated,3.87,$335.37M,2007,Health Care,Medical/Dental Instruments
ACRX,"AcelRx Pharmaceuticals, Inc.",2.51,$155.39M,2011,Health Care,Major Pharmaceuticals
ACER,Acer Therapeutics Inc.,24.99,$251.22M,NA,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,1.41,$43.38M,NA,Health Care,Other Pharmaceuticals
AKAO,"Achaogen, Inc.",1.31,$59.88M,2014,Health Care,Major Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc.",1.33,$8.94M,NA,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACHN,"Achillion Pharmaceuticals, Inc.",2.19,$303.57M,2006,Health Care,Major Pharmaceuticals
ACIW,"ACI Worldwide, Inc.",28.74,$3.33B,NA,Technology,Computer Software: Prepackaged Software
ACRS,"Aclaris Therapeutics, Inc.",6.36,$260.35M,2015,Health Care,Major Pharmaceuticals
ACMR,"ACM Research, Inc.",9.77,$156.36M,2017,Technology,Industrial Machinery/Components
ACNB,ACNB Corporation,37.55,$264.44M,NA,Finance,Major Banks
ACOR,"Acorda Therapeutics, Inc.",16.26,$773.3M,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATVI,"Activision Blizzard, Inc",48.65,$37.12B,NA,Technology,Computer Software: Prepackaged Software
ADMS,"Adamas Pharmaceuticals, Inc.",9.02,$246.57M,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,2.88,$136.2M,NA,Health Care,Major Pharmaceuticals
