symbol,company,last.sale.price,market.cap,ipo.year,sector,industry
DDD,3D Systems Corporation,11.33,$1.29B,NA,Technology,Computer Software: Prepackaged Software
MMM,3M Company,195.86,$114.05B,NA,Health Care,Medical/Dental Instruments
WBAI,500.com Limited,12.81,$544.24M,2013,Consumer Services,Services-Misc. Amusement & Recreation
WUBA,58.com Inc.,60.26,$8.93B,2013,Technology,"Computer Software: Programming, Data Processing"
EGHT,8x8 Inc,20.15,$1.92B,NA,Technology,EDP Services
AHC,A.H. Belo Corporation,4.29,$92.85M,NA,Consumer Services,Newspapers/Magazines
AOS,A.O Smith Corporation,48.01,$8.16B,NA,Consumer Durables,Consumer Electronics/Appliances
ATEN,"A10 Networks, Inc.",6.71,$495.19M,2014,Technology,Computer Communications Equipment
AAC,"AAC Holdings, Inc.",2.77,$68.15M,2014,Health Care,Medical Specialities
AIR,AAR Corp.,37.67,$1.32B,NA,Capital Goods,Aerospace
AAN,"Aaron&#39;s,  Inc.",48.44,$3.52B,NA,Technology,Diversified Commercial Services
ABB,ABB Ltd,19.45,$41.46B,NA,Consumer Durables,Electrical Products
ABT,Abbott Laboratories,71.42,$125.44B,NA,Health Care,Major Pharmaceuticals
ABBV,AbbVie Inc.,89.5,$134.63B,2012,Health Care,Major Pharmaceuticals
ANF,Abercrombie & Fitch Company,20.72,$1.36B,NA,Consumer Services,Clothing/Shoe/Accessory Stores
AGD,Aberdeen Global Dynamic Dividend Fund,9.51,$119.35M,2006,NA,NA
AWP,Aberdeen Global Premier Properties Fund,5.5,$469.74M,2007,NA,NA
ACP,Aberdeen Income Credit Strategies Fund,11.49,$150.22M,2011,NA,NA
JEQ,"Aberdeen Japan Equity Fund, Inc.",6.79,$90.91M,1992,NA,NA
AOD,Aberdeen Total Dynamic Dividend Fund,8.03,$863.97M,2007,NA,NA
ABM,ABM Industries Incorporated,35.98,$2.38B,NA,Finance,Diversified Commercial Services
AKR,Acadia Realty Trust,26.4,$2.15B,NA,Consumer Services,Real Estate Investment Trusts
ACN,Accenture plc,150.45,$100.23B,2001,Miscellaneous,Business Services
ACCO,Acco Brands Corporation,8.83,$907.19M,NA,Consumer Durables,Publishing
ATV,"Acorn International, Inc.",22.175,$59.43M,2007,Consumer Services,Other Specialty Stores
ATU,Actuant Corporation,22.73,$1.39B,NA,Technology,Industrial Machinery/Components
AYI,"Acuity Brands, Inc.",120.57,$4.81B,NA,Consumer Durables,Building Products
GOLF,Acushnet Holdings Corp.,23.38,$1.75B,2016,Consumer Non-Durables,Recreational Products/Toys
ADX,"Adams Diversified Equity Fund, Inc.",13.65,$1.38B,NA,NA,NA
PEO,"Adams Natural Resources Fund, Inc.",16.21,$470.02M,NA,NA,NA
AGRO,Adecoagro S.A.,7.17,$835.7M,2011,Consumer Non-Durables,Farming/Seeds/Milling
ADNT,Adient plc,19.78,$1.85B,2016,Capital Goods,Auto Parts:O.E.M.
ADT,ADT Inc.,7.33,$5.62B,2018,Consumer Services,Diversified Commercial Services
ATGE,Adtalem Global Education Inc.,48.88,$2.87B,NA,Consumer Services,Other Consumer Services
AAP,Advance Auto Parts Inc,167.61,$12.22B,NA,Consumer Services,Other Specialty Stores
ADSW,"Advanced Disposal Services, Inc.",24.94,$2.21B,2016,Public Utilities,Environmental Services
WMS,"Advanced Drainage Systems, Inc.",25.4,$1.45B,2014,Capital Goods,Containers/Packaging
ASIX,AdvanSix Inc.,29.24,$871.44M,2016,Basic Industries,Major Chemicals
AVK,Advent Claymore Convertible Securities and Income Fund,13.86,$478.52M,2003,NA,NA
ACM,AECOM,30.16,$4.72B,2007,Consumer Services,Military/Government/Technical
AEB,Aegon NV,20.51,NA,NA,Finance,Life Insurance
AED,Aegon NV,25.76,NA,NA,Finance,Life Insurance
AEG,Aegon NV,5.19,$10.48B,NA,Finance,Life Insurance
AEH,Aegon NV,25.66,NA,NA,Finance,Life Insurance
AER,Aercap Holdings N.V.,46.64,$6.85B,2006,Technology,Diversified Commercial Services
HIVE,"Aerohive Networks, Inc.",3.46,$192.22M,2014,Technology,EDP Services
AJRD,"Aerojet Rocketdyne Holdings, Inc.",38.68,$3.03B,NA,Capital Goods,Military/Government/Technical
AMG,"Affiliated Managers Group, Inc.",108.57,$5.72B,NA,Finance,Investment Managers
AFL,Aflac Incorporated,47.7,$36.31B,NA,Finance,Accident &Health Insurance
MITT,"AG Mortgage Investment Trust, Inc.",17.11,$491.8M,2011,NA,NA
MITT^A,"AG Mortgage Investment Trust, Inc.",25.01,NA,NA,NA,NA
MITT^B,"AG Mortgage Investment Trust, Inc.",25.04,NA,NA,NA,NA
AGCO,AGCO Corporation,64.71,$5.07B,NA,Capital Goods,Industrial Machinery/Components
A,"Agilent Technologies, Inc.",71.93,$22.91B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AEM,Agnico Eagle Mines Limited,38.99,$9.15B,NA,Basic Industries,Precious Metals
