symbol,company,weight,sector,shares_held
BLUE,bluebird bio Inc.,0.0028648703729542363,Health Care,5617
CTLT,Catalent Inc,0.002759318186459106,Health Care,16668
EXAS,Exact Sciences Corporation,0.0027341919696149382,Health Care,14520
MKSI,MKS Instruments Inc.,0.0025672190270083248,Technology,6725
CW,Curtiss-Wright Corporation,0.0024075611850723983,Producer Durables,5485
STL,Sterling Bancorp,0.0023951084553984316,Financial Services,25058
LFUS,Littelfuse Inc.,0.002369831722079558,Producer Durables,2894
KNX,Knight-Swift Transportation Holdings Inc. Class A,0.0023621553818695784,Producer Durables,14834
FICO,Fair Isaac Corporation,0.0022837563674113167,Financial Services,3980
IDA,IDACORP Inc.,0.0022479535152947067,Utilities,6329
MPWR,Monolithic Power Systems Inc.,0.0021881081649518077,Technology,4937
WGL,WGL Holdings Inc.,0.002184174667746171,Utilities,6519
AZPN,Aspen Technology Inc.,0.00218076296098618,Technology,8558
GPT,Gramercy Property Trust,0.002165731382378926,Financial Services,17840
TCBI,Texas Capital Bancshares Inc.,0.00215256620805802,Financial Services,6530
EPAM,EPAM Systems Inc.,0.0021440068378631018,Technology,6041
MDSO,Medidata Solutions Inc.,0.0021328686187348962,Health Care,6853
WWD,Woodward Inc.,0.002125694000107268,Producer Durables,6783
GRUB,GrubHub Inc.,0.0021098797358315457,Technology,10326
MTG,MGIC Investment Corporation,0.0021076520920059044,Financial Services,42566
SFR,Starwood Waypoint Homes,0.0021060766862373206,Financial Services,14762
MMS,MAXIMUS Inc.,0.0021060666518056734,Producer Durables,8237
LPX,Louisiana-Pacific Corporation,0.002103076391174858,Materials & Processing,18984
EME,EMCOR Group Inc.,0.0021000560272491013,Producer Durables,7697
CNO,CNO Financial Group Inc.,0.0020972764896828736,Financial Services,22096
BCO,Brink's Company,0.0020862486493027853,Producer Durables,6164
BLKB,Blackbaud Inc.,0.002083980867750556,Technology,5839
UMPQ,Umpqua Holdings Corporation,0.0020800774738398606,Financial Services,26818
POR,Portland General Electric Company,0.0020490108734606493,Utilities,11227
RDN,Radian Group Inc.,0.00201168278773369,Financial Services,27071
PRI,Primerica Inc.,0.0020046085134225325,Financial Services,5835
ENTG,Entegris Inc.,0.001978529025571896,Technology,17238
WTFC,Wintrust Financial Corporation,0.001976642552422254,Financial Services,6510
OGS,ONE Gas Inc.,0.0019755487993727274,Utilities,6717
ALE,ALLETE Inc.,0.0019724381255621475,Utilities,6389
DAN,Dana Incorporated,0.001958450127846185,Consumer Discretionary,17610
SNX,SYNNEX Corporation,0.0019561221397040736,Technology,3765
HLS,HealthSouth Corporation,0.0019556705902799574,Health Care,10994
HBHC,Hancock Holding Company,0.0019451043337556323,Financial Services,10175
HOMB,Home BancShares Inc.,0.0019403981853131744,Financial Services,19319
HCSG,Healthcare Services Group Inc.,0.0019367356177620075,Producer Durables,8981
IBKC,IBERIABANK Corporation,0.0019149107289297132,Financial Services,5965
PFPT,Proofpoint Inc.,0.001897942505014582,Technology,5168
IDTI,Integrated Device Technology Inc.,0.001890416681279308,Technology,17384
LOPE,Grand Canyon Education Inc.,0.0018842756091113242,Consumer Discretionary,5481
CUZ,Cousins Properties Incorporated,0.001881716829041331,Financial Services,51102
SWX,Southwest Gas Holdings Inc.,0.0018775425054761658,Utilities,5951
JCOM,j2 Global Inc.,0.0018644275033134947,Utilities,6063
RLJ,RLJ Lodging Trust,0.0018414085171152034,Financial Services,21004
LIVN,LivaNova Plc,0.0018362307503853347,Health Care,6235
NJR,New Jersey Resources Corporation,0.0018187106327296168,Utilities,10612
SBRA,Sabra Health Care REIT Inc.,0.0018138238645175123,Financial Services,21810
SLAB,Silicon Laboratories Inc.,0.0018039700526401266,Technology,5266
DLX,Deluxe Corporation,0.0017939958275829768,Producer Durables,6208
CLVS,Clovis Oncology Inc.,0.0017938754144032124,Health Care,5438
BDC,Belden Inc.,0.0017853461475032353,Materials & Processing,5407
LITE,Lumentum Holdings Inc.,0.001785285940913353,Technology,7731
B,Barnes Group Inc.,0.0017732044852103266,Producer Durables,6330
SHO,Sunstone Hotel Investors Inc.,0.0017705252919605688,Financial Services,27032
CACI,CACI International Inc Class A,0.001769852985040218,Technology,3175
FGEN,FibroGen Inc.,0.0017667523456612849,Health Care,8079
POL,PolyOne Corporation,0.0017651066988711717,Materials & Processing,11025
HR,Healthcare Realty Trust Incorporated,0.0017572597733231925,Financial Services,13927
PAYC,Paycom Software Inc.,0.0017509280469539155,Technology,5640
NKTR,Nektar Therapeutics,0.0017480782683661582,Health Care,19385
PBYI,Puma Biotechnology Inc.,0.001746091450900046,Health Care,3525
MASI,Masimo Corporation,0.001739829965552298,Health Care,5194
STMP,Stamps.com Inc.,0.0017394185538547697,Consumer Discretionary,1997
ISBC,Investors Bancorp Inc,0.0017301567734445589,Financial Services,32333
BKH,Black Hills Corporation,0.00172633365498704,Utilities,6441
PRAH,PRA Health Sciences Inc.,0.0017249790067146906,Health Care,5407
CHFC,Chemical Financial Corporation,0.0017180853521731796,Financial Services,8241
UBSI,United Bankshares Inc.,0.0017130681363496636,Financial Services,11724
FR,First Industrial Realty Trust Inc.,0.0017109006991139044,Financial Services,14048
CRUS,Cirrus Logic Inc.,0.0017061945506714464,Technology,7983
TEN,Tenneco Inc.,0.0017057831389739183,Consumer Discretionary,7114
PODD,Insulet Corporation,0.0017023613977822803,Health Care,7137
SXT,Sensient Technologies Corporation,0.0016896277040221966,Materials & Processing,5446
VSAT,ViaSat Inc.,0.0016729103408982414,Technology,6560
TECD,Tech Data Corporation,0.0016630765978841498,Technology,4493
CMD,Cantel Medical Corp.,0.0016603572669078041,Health Care,4463
MBFI,MB Financial Inc.,0.0016588320332974551,Financial Services,9256
YELP,Yelp Inc,0.001658129623082163,Technology,9675
PNM,PNM Resources Inc.,0.001652530410223119,Utilities,10202
SR,Spire Inc.,0.0016452153095524327,Utilities,5490
SF,Stifel Financial Corp.,0.0016313677938795286,Financial Services,7862
AEIS,Advanced Energy Industries Inc.,0.0016310868297934116,Producer Durables,4836
KMT,Kennametal Inc.,0.0016304747294629428,Producer Durables,9967
LHO,LaSalle Hotel Properties,0.0016288190482411824,Financial Services,13544
UMBF,UMB Financial Corporation,0.0016264208190775419,Financial Services,5594
CAR,Avis Budget Group Inc.,0.0016135165399794585,Consumer Discretionary,9995
LNCE,Snyder's-Lance Inc.,0.001601073844737139,Consumer Staples,10515
AVA,Avista Corporation,0.0015967088669706798,Utilities,7804
TXRH,Texas Roadhouse Inc.,0.0015964981439060921,Consumer Discretionary,8187
SUM,Summit Materials Inc. Class A,0.0015963375929997398,Materials & Processing,12843
CIEN,Ciena Corporation,0.001584848168763888,Technology,18584
BECN,Beacon Roofing Supply Inc.,0.0015795901265808433,Materials & Processing,7750
FULT,Fulton Financial Corporation,0.0015764794527702633,Financial Services,21181
PDCE,PDC Energy Inc,0.0015758673524397943,Energy,8257
GNRC,Generac Holdings Inc.,0.001573910638268623,Producer Durables,8055
CHE,Chemed Corporation,0.0015682813221146383,Health Care,1955
ILG,ILG Inc.,0.0015543133932619695,Consumer Discretionary,13593
NTCT,NetScout Systems Inc.,0.0015447204766074068,Technology,11824
CHDN,Churchill Downs Incorporated,0.0015422018342640018,Consumer Discretionary,1890
GEO,GEO Group Inc,0.0015313345447902661,Financial Services,14909
LCII,LCI Industries,0.0015307525477547383,Consumer Discretionary,3270
SIGI,Selective Insurance Group Inc.,0.0015239793063929917,Financial Services,7158
WAFD,Washington Federal Inc.,0.001522805277890289,Financial Services,11350
ZEN,Zendesk Inc.,0.001518380093533948,Technology,12873
JBT,John Bean Technologies Corporation,0.0015120282983013766,Producer Durables,3856
IART,Integra LifeSciences Holdings Corporation,0.0015004585986123486,Health Care,7738
HUBS,HubSpot Inc.,0.0014978095086575322,Technology,4472
MOG.A,Moog Inc. Class A,0.001495943104371184,Producer Durables,4316
ASGN,On Assignment Inc.,0.0014937957359987192,Producer Durables,6951
TSE,Trinseo SA,0.0014871730111116783,Materials & Processing,5616
ONCE,Spark Therapeutics Inc.,0.0014801388745271087,Health Care,4141
CREE,Cree Inc.,0.0014759645509619434,Technology,12899
JACK,Jack in the Box Inc.,0.0014728839804463044,Consumer Discretionary,3783
SRPT,Sarepta Therapeutics Inc.,0.0014724524998854821,Health Care,7330
BPMC,Blueprint Medicines Corp.,0.0014719909160297185,Health Care,5815
EVR,Evercore Inc Class A,0.0014660906702212639,Financial Services,4918
ESNT,Essent Group Ltd.,0.001465548810912324,Financial Services,9233
CATY,Cathay General Bancorp,0.0014636121656044468,Financial Services,9239
KLXI,KLX Inc.,0.0014611436954192769,Producer Durables,7002
ENS,EnerSys,0.0014547617968917645,Producer Durables,5423
SAIC,Science Applications International Corp.,0.001451480537743185,Technology,5356
ROLL,RBC Bearings Incorporated,0.001444576848770027,Materials & Processing,2933
ACIW,ACI Worldwide Inc.,0.0014441554026408516,Technology,15348
INCR,INC Research Holdings Inc. Class A,0.0014437941631015587,Health Care,6819
FCFS,FirstCash Inc.,0.0014425900313039149,Financial Services,6042
FIVE,Five Below Inc.,0.0014387468439831016,Consumer Discretionary,6679
MOH,Molina Healthcare Inc.,0.001436458993567578,Health Care,5782
RHP,Ryman Hospitality Properties Inc.,0.0014291840306234799,Financial Services,5625
NWE,NorthWestern Corporation,0.0014283712416600703,Utilities,6216
TWOU,2U Inc.,0.0014271671098624265,Consumer Discretionary,6002
FFIN,First Financial Bankshares Inc.,0.0014252505334178434,Financial Services,8176
ICUI,ICU Medical Inc.,0.0014227519599377323,Health Care,1949
WMGI,Wright Medical Group NV,0.001415757961079751,Health Care,13768
SAFM,Sanderson Farms Inc.,0.0014150154131378706,Consumer Staples,2430
NEOG,Neogen Corporation,0.0014142929340592845,Health Care,4618
EGP,EastGroup Properties Inc.,0.001410439712306824,Financial Services,3923
SJI,South Jersey Industries Inc.,0.0014054827030731902,Utilities,10067
PTLA,Portola Pharmaceuticals Inc.,0.0014011578630333196,Health Care,6712
DOC,Physicians Realty Trust,0.0013985990829633262,Financial Services,19780
TTEK,Tetra Tech Inc.,0.0013958496486920395,Producer Durables,7439
NGVT,Ingevity Corporation,0.0013954884091527463,Materials & Processing,5215
FUL,H.B. Fuller Company,0.00139540813369957,Materials & Processing,6233
CBRL,Cracker Barrel Old Country Store Inc.,0.0013908424673001706,Consumer Discretionary,2367
NHI,National Health Investors Inc.,0.0013895078878911153,Financial Services,4609
FCNCA,First Citizens BancShares Inc. Class A,0.0013886850644960584,Financial Services,922
KBR,KBR Inc.,0.0013884041004099416,Producer Durables,19934
VLY,Valley National Bancorp,0.0013862266287425356,Financial Services,29737
MDRX,Allscripts Healthcare Solutions Inc.,0.001377275915713383,Health Care,25367
ELLI,Ellie Mae Inc.,0.0013743458616724499,Technology,4128
MTZ,MasTec Inc.,0.001370041090495873,Producer Durables,8040
PEB,Pebblebrook Hotel Trust,0.0013685760634754064,Financial Services,9384
BXS,BancorpSouth Inc.,0.0013664688328295295,Financial Services,11004
AAN,Aaron's Inc.,0.0013592440420436666,Consumer Discretionary,8172
VAC,Marriott Vacations Worldwide Corporation,0.0013547987888240314,Consumer Discretionary,2773
GBCI,Glacier Bancorp Inc.,0.001352822005789566,Financial Services,9261
VSH,Vishay Intertechnology Inc.,0.0013524708006819198,Technology,16559
LGND,Ligand Pharmaceuticals Incorporated,0.0013444432553642942,Health Care,2394
WWW,Wolverine World Wide Inc.,0.0013435200876527674,Consumer Discretionary,12337
SANM,Sanmina-SCI Corporation,0.0013420349917690067,Technology,8910
COLB,Columbia Banking System Inc.,0.001330605774123037,Financial Services,8132
PSB,PS Business Parks Inc.,0.0013297327785697453,Financial Services,2491
PBH,Prestige Brands Holdings Inc.,0.0013290102994911591,Health Care,7046
MTX,Minerals Technologies Inc.,0.0013257491092058735,Materials & Processing,4652
DAR,Darling Ingredients Inc.,0.0013176513228667188,Producer Durables,19868
TREX,Trex Company Inc.,0.0013172700144641317,Materials & Processing,3851
NUVA,NuVasive Inc.,0.0013110285979796776,Health Care,6552
LAD,Lithia Motors Inc. Class A,0.00131081787491509,Consumer Discretionary,2909
IDCC,InterDigital Inc.,0.0013015861977998203,Technology,4445
ITRI,Itron Inc.,0.0013003921004338238,Producer Durables,4245
SHOO,Steven Madden Ltd.,0.0013000308608945306,Consumer Discretionary,8144
AEL,American Equity Investment Life Holding Company,0.0012988969701184158,Financial Services,11138
VRNT,Verint Systems Inc.,0.0012953548157470136,Technology,7726
MSA,MSA Safety Inc.,0.0012902874277652624,Producer Durables,4189
EDR,Education Realty Trust Inc.,0.0012846681460429244,Financial Services,8861
BCPC,Balchem Corporation,0.0012778949046811777,Materials & Processing,3987
ESL,Esterline Technologies Corporation,0.001265111038762859,Producer Durables,3443
RNG,RingCentral Inc. Class A,0.0012633550132246283,Technology,7431
SMTC,Semtech Corporation,0.0012627529473258066,Technology,7979
SLCA,U.S. Silica Holdings Inc.,0.001261719400866162,Materials & Processing,10852
NXST,Nexstar Media Group Inc. Class A,0.0012607661298596941,Consumer Discretionary,5382
HAE,Haemonetics Corporation,0.0012567924949274693,Health Care,6967
ATI,Allegheny Technologies Incorporated,0.0012547555053031218,Materials & Processing,13176
HELE,Helen of Troy Limited,0.001252557964772422,Consumer Discretionary,3468
DY,Dycom Industries Inc.,0.0012489255005161963,Producer Durables,3810
ESGR,Enstar Group Limited,0.0012481327804160808,Financial Services,1395
QTS,QTS Realty Trust Inc. Class A,0.0012446508326345606,Financial Services,5815
PEN,Penumbra Inc.,0.00124225260347092,Health Care,3462
CBU,Community Bank System Inc.,0.001241560227687275,Financial Services,5722
CMPR,Cimpress N.V.,0.0012411187126948053,Consumer Discretionary,3088
NVRO,Nevro Corp.,0.0012360513247130541,Health Care,3402
SSB,South State Corporation,0.001235981083691525,Financial Services,3437
AVXS,AveXis Inc.,0.0012354793621091734,Health Care,3032
KBH,KB Home,0.0012351181225698801,Consumer Discretionary,11503
AXE,Anixter International Inc.,0.001231234797522479,Technology,3642
HQY,HealthEquity Inc,0.0012304119741274222,Health Care,6112
PAY,VeriFone Systems Inc.,0.0012270604739573136,Technology,15370
ROG,Rogers Corporation,0.0012210598838323884,Technology,2295
IBOC,International Bancshares Corporation,0.0012185613103522775,Financial Services,7433
CVLT,CommVault Systems Inc.,0.0012086071541584215,Technology,5029
UNF,UniFirst Corporation,0.001198753342281036,Producer Durables,1951
NYT,New York Times Company Class A,0.0011944184678095182,Consumer Discretionary,15922
ORA,Ormat Technologies Inc.,0.0011942478824715187,Utilities,4914
ABM,ABM Industries Incorporated,0.0011926022356814055,Producer Durables,7031
WAGE,WageWorks Inc.,0.0011907057281001165,Producer Durables,4698
BLD,TopBuild Corp.,0.0011882171890516525,Producer Durables,4773
TPH,TRI Pointe Group Inc,0.0011877957429224772,Consumer Discretionary,20754
FNSR,Finisar Corporation,0.0011867120243045975,Technology,13597
MYGN,Myriad Genetics Inc.,0.0011859393730677761,Health Care,8283
XHR,Xenia Hotels & Resorts Inc.,0.0011859393730677761,Financial Services,13761
CRS,Carpenter Technology Corporation,0.0011844141394574273,Materials & Processing,6102
