symbol,company,weight,sector,shares_held
MSFT,Microsoft Corporation,0.03707352694086951,Information Technology,85257330
AAPL,Apple Inc.,0.031785307894171846,Information Technology,49768770
AMZN,Amazon.com Inc.,0.03144071949081859,Consumer Discretionary,4531523
BRK.B,Berkshire Hathaway Inc. Class B,0.017484829108240698,Financials,21466130
FB,Facebook Inc. Class A,0.016110068293294328,Communication Services,26510704
JNJ,Johnson & Johnson,0.015653392584017614,Health Care,29592454
JPM,JPMorgan Chase & Co.,0.015478976729764579,Financials,36703510
GOOG,Alphabet Inc. Class C,0.01516005832102683,Communication Services,3394527
GOOGL,Alphabet Inc. Class A,0.01485588139457705,Communication Services,3298515
XOM,Exxon Mobil Corporation,0.013807194561916222,Energy,46714800
BAC,Bank of America Corp,0.011969633267048037,Financials,100762220
UNH,UnitedHealth Group Incorporated,0.011298780733300975,Health Care,10614702
PFE,Pfizer Inc.,0.011104359296499637,Health Care,63808150
V,Visa Inc. Class A,0.01091018805457759,Information Technology,19395020
VZ,Verizon Communications Inc.,0.010616829554708457,Communication Services,45591332
PG,Procter & Gamble Company,0.01020939219767669,Consumer Staples,27488134
T,AT&T Inc.,0.010081512590972234,Communication Services,80297496
INTC,Intel Corporation,0.010005013004679474,Information Technology,50374400
CVX,Chevron Corporation,0.009673014407652263,Energy,21084540
WFC,Wells Fargo & Company,0.009436350067431022,Financials,46777724
CSCO,Cisco Systems Inc.,0.008991333439529384,Information Technology,49632770
HD,Home Depot Inc.,0.008933968757604984,Consumer Discretionary,12467928
MRK,Merck & Co. Inc.,0.008894568068013857,Health Care,28712316
BA,Boeing Company,0.008577431046816675,Industrials,5829336
MA,Mastercard Incorporated Class A,0.008163758833392917,Information Technology,9995999
KO,Coca-Cola Company,0.008150658629513113,Consumer Staples,42267424
DIS,Walt Disney Company,0.007471299469870076,Communication Services,16424769
CMCSA,Comcast Corporation Class A,0.007378737372326679,Communication Services,50145476
PEP,PepsiCo Inc.,0.006970789617741155,Consumer Staples,15575609
NFLX,Netflix Inc.,0.00696322372459132,Communication Services,4811348
C,Citigroup Inc.,0.006904107678511869,Financials,26971240
MCD,McDonald's Corporation,0.006318271364748716,Consumer Discretionary,8513747
WMT,Walmart Inc.,0.0062439634855985665,Consumer Staples,15751416
ABBV,AbbVie Inc.,0.005938125265150278,Health Care,16618748
DWDP,DowDuPont Inc.,0.005918479963228158,Materials,25321860
AMGN,Amgen Inc.,0.005820093328894809,Health Care,7034217
ABT,Abbott Laboratories,0.005599581570080751,Health Care,19377966
ORCL,Oracle Corporation,0.005589093400740771,Information Technology,28076894
ADBE,Adobe Inc.,0.005380540957156938,Information Technology,5372668
MDT,Medtronic plc,0.005319833671645181,Health Care,14820356
CRM,salesforce.com inc.,0.005180264960180134,Information Technology,8438150
UNP,Union Pacific Corporation,0.005141264582395874,Industrials,8113598
PM,Philip Morris International Inc.,0.005096910034194734,Consumer Staples,17151992
LLY,Eli Lilly and Company,0.0050816281309674916,Health Care,10407288
MMM,3M Company,0.005051724838994341,Industrials,6430722
IBM,International Business Machines Corporation,0.005014926176147864,Information Technology,10015988
PYPL,PayPal Holdings Inc,0.004811427669125758,Information Technology,12988851
